Batsman,Runs,Matches,Highest Score,Average,Strike Rate,Hundreds,Fifties,Fours,Sixes
Bhanuka Rajapaksa,206,9,43,22.89,159.68,0,0,16,13
Mayank Agarwal,196,13,52,16.33,122.50,0,1,23,6
Ravichandran Ashwin,191,17,50,27.29,141.48,0,1,14,9
Tim David,186,8,46,37.20,216.27,0,0,12,16
Riyan Parag,183,17,56*,16.64,138.63,0,1,11,10
Krunal Pandya,183,14,42,20.33,126.20,0,0,16,4
Axar Patel,182,13,42*,45.50,151.66,0,0,12,10
Venkatesh Iyer,182,12,50*,16.55,107.69,0,1,17,7
Rinku Singh,174,7,42*,34.80,148.71,0,0,17,7
Sam Billings,169,8,36,24.14,122.46,0,0,9,10
Dewald Brevis,161,7,49,23.00,142.47,0,0,14,11
Ayush Badoni,161,13,54,20.13,123.84,0,1,11,7
Lalit Yadav,161,12,48*,23.00,110.27,0,0,11,7
Matthew Wade,157,10,35,15.70,113.76,0,0,23,2
Marcus Stoinis,156,11,38*,19.50,147.16,0,0,7,13
Sai Sudharsan,145,5,65*,36.25,127.19,0,1,14,3
Kieron Pollard,144,11,25,14.40,107.46,0,0,6,9
Ajinkya Rahane,133,7,44,19.00,103.90,0,0,14,4
Anuj Rawat,129,8,66,16.13,109.32,0,1,10,7
Shardul Thakur,120,14,29*,15.00,137.93,0,0,7,7
Shahrukh Khan,117,8,26,16.71,108.33,0,0,4,9
Ravindra Jadeja,116,10,26*,19.33,118.36,0,0,6,5
Abhinav Manohar,108,8,43,18.00,144.00,0,0,14,3
Washington Sundar,101,9,40,14.43,146.37,0,0,9,3
Rashid Khan,91,16,40,22.75,206.81,0,0,3,9
Sarfaraz Khan,91,6,36*,30.33,135.82,0,0,9,2
Manish Pandey,88,6,38,14.67,110.00,0,0,9,2
Mahipal Lomror,86,7,42,17.20,150.87,0,0,7,4
Aaron Finch,86,5,58,17.20,140.98,0,1,10,3
Rahul Chahar,77,13,25*,12.83,113.23,0,0,7,4
Evin Lewis,73,6,55*,24.33,130.35,0,1,8,3
Sunil Narine,71,14,22,8.88,177.50,0,0,6,6
Shashank Singh,69,10,25*,17.25,146.80,0,0,5,4
Suyash S Prabhudessai,67,5,34,13.40,113.55,0,0,7,2
Pat Cummins,63,5,56*,15.75,262.50,0,1,5,6
Jaydev Unadkat,59,5,19*,19.67,159.45,0,0,4,3
Romario Shepherd,58,3,26*,29.00,141.46,0,0,2,5
Jason Holder,58,12,16,9.67,131.81,0,0,2,6
Umesh Yadav,55,12,21,13.75,137.50,0,0,4,4
Odean Smith,51,6,25*,17.00,115.90,0,0,1,5
Kagiso Rabada,48,13,25,9.60,111.62,0,0,5,2
Kuldeep Yadav,48,14,16*,48.00,92.30,0,0,3,2
Priyam Garg,46,2,42,23.00,139.39,0,0,4,2
Ramandeep Singh,45,5,14*,22.50,112.50,0,0,3,1
Dwaine Pretorius,44,6,22,11.00,157.14,0,0,3,3
Dushmantha Chameera,43,12,17,10.75,153.57,0,0,3,3
Harshal Patel,43,15,11,8.60,110.25,0,0,4,2
Hrithik Shokeen,43,5,25,21.50,89.58,0,0,5,0
Trent Boult,40,16,17*,20.00,137.93,0,0,2,1
Jagadeesan Narayan,40,2,39*,40.00,108.10,0,0,3,1
Daniel Sams,38,11,15,5.43,105.55,0,0,1,3
Wanindu Hasaranga,38,16,18,5.43,88.37,0,0,4,1
Rishi Dhawan,37,6,21*,18.50,92.50,0,0,4,2
Daryl Mitchell,33,2,17,16.50,75.00,0,0,1,0
Sherfane Rutherford,33,3,28,16.50,66.00,0,0,1,1
James Neesham,31,2,17,15.50,114.81,0,0,3,0
Mohammed Siraj,30,15,14*,15.00,90.90,0,0,5,0
Tim Seifert,24,2,21,12.00,126.31,0,0,4,0
Bhuvneshwar Kumar,24,14,8,8.00,92.30,0,0,3,0
Mohsin Khan,23,9,13*,23.00,143.75,0,0,2,1
Dwayne Bravo,23,10,12,11.50,95.83,0,0,1,1
Sheldon Jackson,23,5,8,5.75,88.46,0,0,0,1
Avesh Khan,22,13,12,22.00,169.23,0,0,0,3
Rassie van der Dussen,22,3,12*,11.00,91.66,0,0,2,0
Harpreet Brar,22,5,14,7.33,88.00,0,0,1,2
Mitchell Santner,22,6,11,11.00,81.48,0,0,3,0
Arshdeep Singh,21,14,10*,7.00,72.41,0,0,3,0
B Indrajith,21,3,15,7.00,70.00,0,0,2,0
Manan Vohra,19,2,19,19.00,172.72,0,0,1,2
Vijay Shankar,19,4,13,4.75,54.28,0,0,1,0
Mandeep Singh,18,3,18,6.00,78.26,0,0,4,0
Josh Hazlewood,18,12,7*,-,69.23,0,0,1,0
David Willey,18,4,18,9.00,60.00,0,0,3,0
Karun Nair,16,3,13,8.00,88.88,0,0,1,0
Simran Singh,14,1,14,14.00,127.27,0,0,2,0
Anmolpreet Singh,13,2,8,6.50,100.00,0,0,1,0
Murugan Ashwin,12,8,6,4.00,85.71,0,0,1,1
Varun Chakaravarthy,12,11,10*,-,66.66,0,0,2,0
Chris Jordan,11,4,6*,11.00,137.50,0,0,0,0
Rajangad Bawa,11,2,11,5.50,78.57,0,0,1,0
Shreyas Gopal,9,1,9*,-,128.57,0,0,2,0
Marco Jansen,9,8,8*,9.00,128.57,0,0,0,1
Obed McCoy,8,7,8,8.00,160.00,0,0,0,1
Srikar Bharat,8,2,8,4.00,114.28,0,0,2,0
Fabian Allen,8,1,8,8.00,114.28,0,0,1,0
Sean Abbott,7,1,7,7.00,140.00,0,0,0,1
Rasikh Salam,7,2,7,7.00,116.66,0,0,1,0
Kartik Tyagi,7,2,7,3.50,116.66,0,0,1,0
Maheesh Theekshana,7,9,7*,7.00,100.00,0,0,0,1
Simarjeet Singh,7,6,3*,7.00,87.50,0,0,0,0
Ripal Patel,6,2,6,6.00,200.00,0,0,0,1
Mukesh Choudhary,6,13,4,6.00,100.00,0,0,1,0
Prasidh Krishna,6,17,4*,6.00,50.00,0,0,0,0
Aman Khan,5,1,5,5.00,166.66,0,0,1,0
Lockie Ferguson,5,13,5,2.50,125.00,0,0,1,0
Alzarri Joseph,5,9,4*,5.00,71.42,0,0,0,0
Yuzvendra Chahal,5,17,5,5.00,62.50,0,0,0,0
Vaibhav Arora,5,5,2*,2.50,38.46,0,0,0,0
Prerak Mankad,4,1,4*,-,400.00,0,0,1,0
Karan Sharma,4,1,4,4.00,100.00,0,0,1,0
Abdul Samad,4,2,4,2.00,57.14,0,0,0,0
Abhijeet Tomar,4,1,4,4.00,50.00,0,0,1,0
Umran Malik,4,14,3*,4.00,50.00,0,0,0,0
Mustafizur Rahman,3,8,3*,-,60.00,0,0,0,0
Kumar Kartikeya Singh,3,4,3,3.00,60.00,0,0,0,0
Shivam Mavi,3,6,2,1.50,42.85,0,0,0,0
Harshit Rana,2,2,2,2.00,100.00,0,0,0,0
Navdeep Saini,2,2,2,2.00,100.00,0,0,0,0
Tristan Stubbs,2,2,2,1.00,50.00,0,0,0,0
Pradeep Sangwan,2,3,2,2.00,40.00,0,0,0,0
Fazalhaq Farooqi,2,3,2*,-,25.00,0,0,0,0
Jagadeesha Suchith,2,5,2,1.00,25.00,0,0,0,0
Tim Southee,2,9,1*,0.50,16.66,0,0,0,0
Nathan Coulter-Nile,1,1,1*,-,50.00,0,0,0,0
Anrich Nortje,1,6,1*,-,16.66,0,0,0,0
,,,,,,,,,
